name,nationality,birth_date,height,hand,rank,position,prize_money_year,prize_money_total,residence,birthplace,best_rank
Robert Farah,,,,,,,,,,,
Dorian Descloix,,,,,,,,,,,
David Vega Hernández,ESP,23 Jun 1994,1.88,Right-Handed,,,427 €,98.6K €,"Gran Canaria, Spain","Telde, Spain",
David Souto,VEN,26 Mar 1992,1.91,Left-Handed,,,,72.6K €,Venezuela,Caracas,
Jannik Sinner,ITA,16 Aug 2001,1.88,Right-Handed,1444,37,271K €,818K €,Sesto,"San Candido, Italy",68 in 17/02/2020
Takao Suzuki,JPN,20 Sep 1976,1.75,Right-Handed,,,,607.8K €,"Tokyo, Japan","Sapporo, Japan",
Ahmed Deedat Abdul Razak,MAS,18 Jun 1995,,,,,,6.1K €,,,
Carlos Gómez-Herrera,ESP,30 Apr 1990,1.91,Right-Handed,114,361,5.2K €,120.4K €,"Marbella, Spain","Marbella, Spain",268 in 07/05/2018
Philipp Oswald,,,,,,,,,,,
Arjun Kadhe,IND,7 Jan 1994,1.85,Right-Handed,34,656,6.2K €,78.4K €,"Pune, Maharashtra State, India","Pune, India",328 in 27/08/2018
Felipe Cunha-Silva,POR,31 Mar 1997,1.8,Right-Handed,,,,13.2K €,"Lisbon, Portugal","Cascais, Portugal",
Patrick Davidson,,,,,,,,,,,
Tudor Cristian Sulea,,,,,,,,,,,
Thanasi Kokkinakis,AUS,10 Apr 1996,1.93,Right-Handed,209,260,,1.2M €,"Adelaide, Australia","Adelaide, Australia",69 in 08/06/2015
Christopher Rungkat,INA,14 Jan 1990,1.75,Right-Handed,,,,147.8K €,"Eugene, OR, USA","Jakarta, Indonesia",
Alejandro Hernandez,,,,,,,,,,,
Thierry Roggi,,,,,,,,,,,
Josko Topic,CRO,8 Dec 1983,,,,,,37.1K €,,,
Julian Zlobinsky,USA,8 Jan 1996,1.83,Right-Handed,,,,4.1K €,USA,New York,
Raul Brancaccio,ITA,4 May 1997,1.85,Right-Handed,106,380,2.7K €,74.7K €,Jávea,"Torre del Greco, Italy",270 in 19/08/2019
Ricardo Ojeda Lara,ESP,26 Jan 1993,1.78,Right-Handed,78,456,3.7K €,195.5K €,"El Puerto de Santa Maria, Spai","Cadiz, Spain",171 in 09/10/2017
Soonwoo Kwon,KOR,2 Dec 1997,1.8,Right-Handed,752,95,297.6K €,719.9K €,"Seoul, South Korea","Sangju, South Korea",69 in 02/03/2020
Rigele Te,CHN,9 Oct 1997,1.88,Right-Handed,9,1031,260 €,69.3K €,"Bejing, China","Huhehaote, China",395 in 22/10/2018
Alessandro Motti,,,,,,,,,,,
Juan Lizariturry,ESP,20 Apr 1991,,,,,,70.1K €,,,
Demian Raab,,,,,,,,,,,
Jordan Correia,BRA,5 Jul 1997,1.8,Right-Handed,56,541,858 €,33K €,"Alicante, Spain","São M, Brazil",399 in 17/12/2018
Goncalo Andrade,,,,,,,,,,,
Kamil Majchrzak,POL,13 Jan 1996,1.8,Right-Handed,680,106,150.9K €,643.5K €,"Piotrkow Trybunalski, Poland","Piotrkow Trybunalski, Poland",83 in 23/09/2019
Juan Martín del Potro,ARG,23 Sep 1988,1.98,Right-Handed,415,154,,21.6M €,"Tandil, Argentina","Tandil, Argentina",3 in 13/08/2018
Andrew Fenty,USA,,,,7,1103,433 €,3.8K €,,,1076 in 17/02/2020
Liang-Chi Huang,TPE,8 Mar 1992,,,,,,122.4K €,,,
Oliver Marach,,,,,,,,,,,
Eduard Guell Bartrina,ESP,6 Sep 1998,,Right-Handed,,,,5.7K €,,,
Attila Balazs,HUN,27 Sep 1988,1.8,Right-Handed,774,92,142.9K €,521K €,"Budapest, Hungary","Budapest, Hungary",76 in 02/03/2020
Jelle Sels,NED,10 Aug 1995,1.88,Right-Handed,125,340,2.7K €,76.1K €,Alphen aan den Rijn,"Woerden, Netherlands",260 in 17/12/2018
Goncalo Pereira,,,,,,,,,,,
Andrea Pellegrino,ITA,23 Mar 1997,1.85,Right-Handed,188,279,6.7K €,107.7K €,"Bisceglie, Italy","Bisceglie, Italy",296 in 28/09/2020
Rui Machado,POR,10 Apr 1984,1.78,Right-Handed,,,,750.5K €,"Lisbon, Portugal","Faro, Portugal",
